;title;preis;Bildschirmdiagonale (cm/Zoll);Bildschirmauflösung;Touchscreen;Bildqualität;Bildschirmdiagonale (cm);Bildschirmdiagonale (Zoll);Bildverhältnis;Paneltyp;Bildschirmmerkmale;Arbeitsspeicher-Typ;Arbeitsspeicher-Größe;Arbeitsspeicher-Konfiguration;Prozessor;Prozessor-Marke;Prozessor-Modell;Prozessor-Nummer;Prozessor-Taktfrequenz;Anzahl Prozessorkerne;Anzahl Threads;Prozessor-Taktfrequenz mit Turbo;Helligkeit;Intel Optane;Grafikkarte;Grafikkarte Hersteller;Festplatte 1;Festplattentyp 1.Festplatte;Bildschirmtyp;Cache-Speicher Typ;Speichergeschwindigkeit;Cachegröße;Chipsatz;Gesamtanzahl Steckplätze;Interner Speicher;Festplattenkapazität 1. Festplatte;Bildschirmkontrast;Regulierbare Helligkeit;LED Hintergrundbeleuchtung;Anzahl installierter Festplatten;Touchscreen-Typ;SSD-Speicher;Grafikspeicher-Typ;Gesamter Speicherplatz in GB;Anschlüsse;Curved display;Grafikspeicher dediziert;max. unterstützter Speicher;Leistungsmerkmale;WLAN;Bluetooth;Betriebssystem;Integriertes Mikrofon;Tastaturbelegung;integrierte Webcam
"https://www.mediamarkt.de/de/product/_asus-zenbook-13-oled-ux325ea-kg327t-2712302.html
";"ASUS Zenbook 13 OLED (UX325EA-KG327T), Notebook mit 13,3 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, Intel Iris Xᵉ Graphics, Pine Grey
4.3 (26)| Art.-Nr. 2712302 | ASUS";929.;33.8 cm / 13.3 Zoll;1.920 x 1.080 Pixel;Nein;Full-HD;33.8 cm;13.3 Zoll;16:9;;OLED Display;LPDDR4X;16 GB;;Intel® Core™ i5-1135G7 Prozessor (bis zu 4,20 GHz mit Intel® Turbo-Boost-Technik 2.0, 8 MB Intel® Cache);Intel®;Core™ i5;i5-1135G7;2.4 GHz;4;8;4.2 GHz;;;;;;;Glossy Display;;;8 MB;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_medion-akoya%C2%AE-e15407-md61956-2682612.html
";"MEDION AKOYA® E15407 (MD61956), Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 1 TB SSD, Intel® UHD Grafik, Titan Grau
3.5 (13)| Art.-Nr. 2682612 | MEDION";599.;39.6 cm / 15.6 Zoll;1.920 x 1.080 Pixel;Nein;Full-HD;39.6 cm;15.6 Zoll;16:9;AHVA (Advanced Hyper-Viewing Angle);Slim Bezel;DDR4;8 GB;;Intel® Core™ i5-1035G1 Prozessor (bis zu 3,60 GHz mit Intel® Turbo-Boost-Technik 2.0, 6 MB Intel® Cache);Intel®;Core™ i5;i5-1035G1;1.0 GHz;4;8;3.6 GHz;;;;;;;;Intel® Cache;;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_lenovo-legion-5i-gaming-notebook-mit-173-zoll-display-intelr-coretm-i5-prozessor-16-gb-ram-512-gb-ssd-geforce-gtx-1650-ti-phantom-black-2759102.html
";"LENOVO Legion 5i, Gaming Notebook mit 17,3 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, GeForce GTX 1650 Ti, Phantom Black
4.0 (2)| Art.-Nr. 2759102 | LENOVO";999.–;43.9 cm / 17.3 Zoll;1.920 x 1.080 Pixel;;Full-HD;43.9 cm;17.3 Zoll;16:9;;Matt, 144 Hz, Dolby Vision, DC Dimmer;DDR4;16 GB;2x 8 GB;Intel® Core™ i5-10300H Prozessor (bis zu 4,50 GHz mit Intel® Turbo-Boost-Technik 2.0, 8 MB Intel® Cache);Intel®;Core™ i5;i5-10300H;2.5 GHz;4;8;;300 cd/m²;;;;;;IPS;;2.933 MHz;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_medion-e15407-notebook-mit-156-zoll-display-intelr-coretm-i5-prozessor-8-gb-ram-512-gb-ssd-intelr-uhd-graphics-silber-2850209.html
";"MEDION E15407, Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 512 GB SSD, Intel® UHD Graphics, Silber
Produkt bewerten| Art.-Nr. 2850209 | MEDION";499.;39.6 cm / 15.6 Zoll;1.920 x 1.080;;Full-HD;39.6 cm;15.6 Zoll;16:9;AHVA (Advanced Hyper-Viewing Angle);;DDR4;8 GB;1x 8 GB;Intel® Core™ i5 Prozessor 1035G1 6 MB Cache, bis zu 3,60 GHz;Intel®;Core™ i5;i5-1035G1;1.0 GHz;4;8;3.60 GHz;;;;;;;FHD AHVA;Intel® Smart Cache;;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_captiva-i65-634-gaming-notebook-mit-173-zoll-display-intelr-coretm-i5-prozessor-16-gb-ram-500-gb-ssd-rtx-3060-grau-2776169.html
";"CAPTIVA I65-634, Gaming Notebook mit 17,3 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 500 GB SSD, Nvidia GeForce RTX 3060, Grau
4.3 (3)| Art.-Nr. 2776169 | CAPTIVA";1499.–;43.9 cm / 17.3 Zoll;1.920 x 1.080 Pixel;Nein;Full-HD;43.9 cm;17.3 Zoll;16:9;IPS (In-Plane Switching);;DDR4;16 GB;2x 8 GB;Intel® Core™ i5-11400H Prozessor (12 MB Cache, bis zu 4,50 GHz);Intel®;Core™ i5;i5-11400H;2.2 GHz;6;12;4.5 GHz;;;;;;;;;;;HM570;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_lenovo-legion-5i-2652502.html
";"LENOVO Legion 5i, Gaming Notebook mit 17,3 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 512 GB SSD, GeForce GTX 1650, Phantom Schwarz
Produkt bewerten| Art.-Nr. 2652502 | LENOVO";999.;43.9 cm / 17.3 Zoll;1.920 x 1.080 Pixel;Nein;Full-HD;43.9 cm;17.3 Zoll;16:9;;Matt;DDR4;16 GB;2x 8 GB DIMM;Intel® Core™ i5-10300H Prozessor (bis zu 4,5 GHz mit Intel® Turbo-Boost-Technik 2.0, 8 Intel® Cache);Intel®;Core™ i5;i5-10300H;2.5 GHz;4;8;;300 cd/m²;;;;;;IPS;;;;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_microsoft-surface-laptop-go-2689645.html
";"MICROSOFT Surface Laptop Go, Notebook mit 12,45 Zoll Display Touchscreen, Intel® Core™ i5 Prozessor, 8 GB RAM, 128 GB SSD, UHD-Grafik, Platin
4.5 (25)| Art.-Nr. 2689645 | MICROSOFT";739.;31.6 cm / 12.45 Zoll;1.536 x 1.024 Pixel;Ja;;31.6 cm;12.45 Zoll;;;;LPDDR4X;8 GB;;Intel® Core™ i5-1035G1 Prozessor (bis zu 3,60 GHz mit Intel® Turbo-Boost-Technik 2.0, 6 MB Intel® Cache);Intel®;Core™ i5;i5-1035G1;1 GHz;4;;3.6 GHz;;;UHD-Grafik;Intel®;SSD , 128 GB;SSD;;Intel Smart Cache;;6 MB;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_microsoft-surface-laptop-4-2722436.html
";"MICROSOFT Surface Laptop 4, Notebook mit 13,5 Zoll Display Touchscreen, Intel® Core™ i5 Prozessor, 8 GB RAM, 512 GB SSD, Intel® Iris® Xᵉ Grafik, Eisblau
5.0 (1)| Art.-Nr. 2722436 | MICROSOFT";1319.–;34.3 cm / 13.5 Zoll;2.496 x 1.664 Pixel;Ja;;34.3 cm;13.5 Zoll;3:2;;Touchscreen;LPDDR4X;8 GB;;Intel® Core™ i5-1135G7 Prozessor 8 MB Cache, bis zu 4,20 GHz, mit IPU;Intel®;Core™ i5;i5-1135G7;2.4 GHz;;;4.2 GHz;;;Intel® Iris® Xᵉ Grafik;Intel;;;PixelSense™;Intel Cache;;8 MB;;;;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_samsung-galaxy-book-2730267.html
";"SAMSUNG GALAXY BOOK, Notebook mit 15,6 Zoll Display, Intel® Core™ i5 Prozessor, 8 GB RAM, 512 GB SSD, Iris® Xe, Mystic Silver
4.2 (12)| Art.-Nr. 2730267 | SAMSUNG";799.;39.62 cm / 15.6 Zoll;1.920 x 1.080 Pixel;;Full-HD;39.62 cm;15.6 Zoll;16:9;;;LPDDR4;8 GB;1x 8 GB;Intel® Core™ i5-1135G7 Prozessor (bis zu 4,20 GHz mit Intel® Turbo-Boost-Technik 2.0, 8 MB Intel® Cache);Intel®;Core™ i5;i5-1135G7;2.4 GHz;;;4.2 GHz;300 cd/m²;;;;;;PLS;Intel Cache;;8 MB;;;512 GB;;;;;;;;;;;;;;;;;;;;
"https://www.mediamarkt.de/de/product/_acer-aspire-5-a517-52-5810-notebook-mit-173-zoll-display-intelr-coretm-i5-prozessor-16-gb-ram-1-tb-ssd-intel-iris-xe-graphics-silber-2713172.html
";"ACER Aspire 5 (A517-52-5810), Notebook mit 17,3 Zoll Display, Intel® Core™ i5 Prozessor, 16 GB RAM, 1 TB SSD, Intel Iris Xe Graphics, Silber
4.2 (5)| Art.-Nr. 2713172 | ACER";699.;43.94 cm / 17.3 Zoll;1.920 x 1.080;Nein;Full-HD;43.94 cm;17.3 Zoll;16:9;IPS (In-Plane Switching);Acer ComfyView Full HD IPS Display mit LED-Backlight (matt);DDR4;16 GB;2x 8 GB;Intel® Core™ i5-1135G7 Prozessor (8 MB Cache, bis zu 4,20 GHz);Intel®;Core™ i5;i5-1135G7;2.40 GHz;4;8;4.20 GHz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
