GEN,BL,Todesfälle,Meldedatum,Bevoelkerung,Faelle_gesamt,Faelle_7-Tage,Inzidenz_7-Tage,Infektionsrate,Letalitätsrate
Amberg-Sulzbach,Bayern,259,2023-02-20,103277,49147,144,139.4,0.4758755579654715,0.0052699045719982905
Cham,Bayern,325,2023-02-20,128444,68632,217,168.9,0.53433402883747,0.004735400396316587
Neumarkt i.d. OPf.,Bayern,287,2023-02-20,136062,67996,216,158.8,0.49974276432802694,0.004220836519795282
Neustadt a.d. Waldnaab,Bayern,274,2023-02-20,94838,53489,192,202.5,0.5640038803011451,0.005122548561386453
Regensburg,Bayern,296,2023-02-20,195225,104674,255,130.6,0.5361710846459213,0.002827827349676137
Schwandorf,Bayern,324,2023-02-20,149239,78611,193,129.3,0.5267456897995832,0.004121560595845365
Tirschenreuth,Bayern,332,2023-02-20,71648,40421,175,244.2,0.5641608977221975,0.008213552361396304
Bamberg,Bayern,182,2023-02-20,77749,33634,90,115.8,0.43259720382255723,0.005411191056668847
Bayreuth,Bayern,199,2023-02-20,73909,38850,95,128.5,0.5256464030091058,0.0051222651222651225
Coburg,Bayern,123,2023-02-20,40955,20209,36,87.9,0.49344402392870224,0.006086397149784749
Hof,Bayern,193,2023-02-20,45125,23263,50,110.8,0.5155235457063712,0.008296436401152045
Bamberg,Bayern,286,2023-02-20,147697,80481,166,112.4,0.5449061253783083,0.003553633776916291
Bayreuth,Bayern,267,2023-02-20,103648,54733,158,152.4,0.5280661469589379,0.004878227029397256
Coburg,Bayern,221,2023-02-20,86544,42723,80,92.4,0.49365640599001664,0.005172857711303045
Forchheim,Bayern,246,2023-02-20,116753,62184,173,148.2,0.532611581715245,0.0039560015438054805
Hof,Bayern,312,2023-02-20,93907,48762,148,157.6,0.5192584152406103,0.006398425003076166
Kronach,Bayern,203,2023-02-20,66091,36234,82,124.1,0.5482440876972658,0.0056024728155875695
Kulmbach,Bayern,193,2023-02-20,71328,39161,113,158.4,0.5490270300583221,0.004928372615612472
Lichtenfels,Bayern,190,2023-02-20,66741,37116,69,103.4,0.5561199262821953,0.0051190861084168555
Wunsiedel i. Fichtelgebirge,Bayern,323,2023-02-20,71482,37979,112,156.7,0.5313085811812764,0.008504699965770558
Ansbach,Bayern,71,2023-02-20,41662,21849,62,148.8,0.5244347366905093,0.0032495766396631424
Erlangen,Bayern,156,2023-02-20,113292,47022,196,173.0,0.4150513716767292,0.0033175960188847773
Fürth,Bayern,338,2023-02-20,129122,65202,202,156.4,0.5049642973312062,0.005183890064721941
Nürnberg,Bayern,1374,2023-02-20,510632,255650,888,173.9,0.5006540914004606,0.005374535497750832
Schwabach,Bayern,146,2023-02-20,41146,21169,63,153.1,0.5144850046177029,0.006896877509565875
Ansbach,Bayern,297,2023-02-20,186279,96095,170,91.3,0.5158659859672856,0.0030906915031999583
Erlangen-Höchstadt,Bayern,201,2023-02-20,139323,72324,236,169.4,0.5191102689433905,0.002779160444665671
Fürth,Bayern,315,2023-02-20,119432,60186,178,149.0,0.5039352937236251,0.0052337752965806
