GEN,BL,Todesfälle,Meldedatum,Bevoelkerung,Faelle_gesamt,Faelle_7-Tage,Inzidenz_7-Tage,Infektionsrate,Letalitätsrate
Flensburg,Schleswig-Holstein,96,2023-02-20,91113,40801,63,69.1,0.4478065698637955,0.0023528835077571628
Kiel,Schleswig-Holstein,322,2023-02-20,246243,102409,186,75.5,0.415885933813347,0.0031442548994717262
Lübeck,Schleswig-Holstein,166,2023-02-20,216277,91534,77,35.6,0.42322577065522454,0.0018135337688727686
Neumünster,Schleswig-Holstein,129,2023-02-20,79496,31445,51,64.2,0.39555449330783937,0.0041024010176498645
Dithmarschen,Schleswig-Holstein,126,2023-02-20,133969,53768,67,50.0,0.40134658017899666,0.0023434012795714924
Herzogtum Lauenburg,Schleswig-Holstein,214,2023-02-20,200819,76299,79,39.3,0.37993914918409116,0.002804754977129451
Nordfriesland,Schleswig-Holstein,213,2023-02-20,167560,72415,140,83.6,0.43217354977321554,0.0029413795484360974
Ostholstein,Schleswig-Holstein,138,2023-02-20,202014,73304,61,30.2,0.3628659399843575,0.0018825712103023027
Pinneberg,Schleswig-Holstein,678,2023-02-20,318326,125499,159,49.9,0.3942467784598179,0.005402433485525781
Plön,Schleswig-Holstein,79,2023-02-20,129687,47069,84,64.8,0.36294308604563297,0.001678387048800697
Rendsburg-Eckernförde,Schleswig-Holstein,148,2023-02-20,276053,112008,249,90.2,0.4057481715467682,0.0013213341904149704
Schleswig-Flensburg,Schleswig-Holstein,186,2023-02-20,203799,79484,155,76.1,0.39001172724105615,0.00234009360374415
Segeberg,Schleswig-Holstein,416,2023-02-20,280400,123556,181,64.6,0.440641940085592,0.003366894363689339
Steinburg,Schleswig-Holstein,77,2023-02-20,130843,52428,121,92.5,0.40069396146526753,0.0014686808575570306
Stormarn,Schleswig-Holstein,468,2023-02-20,245406,89171,70,28.5,0.3633611240148978,0.005248343071177849
Hamburg,Hamburg,3592,2023-02-20,1853935,804589,858,46.3,0.43398986480108526,0.004464391136344146
Braunschweig,Niedersachsen,476,2023-02-20,248823,109985,281,112.9,0.44202103503293505,0.004327862890394145
Salzgitter,Niedersachsen,211,2023-02-20,103694,51571,152,146.6,0.49733832237159337,0.004091446743324737
Wolfsburg,Niedersachsen,245,2023-02-20,123949,59030,97,78.3,0.4762442617528177,0.004150431983737083
Gifhorn,Niedersachsen,517,2023-02-20,177919,82634,209,117.5,0.4644473046723509,0.006256504586489822
Goslar,Niedersachsen,317,2023-02-20,134050,57091,131,97.7,0.425893323386796,0.005552538929078138
Helmstedt,Niedersachsen,178,2023-02-20,91379,40800,80,87.5,0.4464920824259403,0.004362745098039216
Northeim,Niedersachsen,267,2023-02-20,131765,62965,192,145.7,0.4778583083519903,0.004240451044230922
Peine,Niedersachsen,203,2023-02-20,136960,69883,123,89.8,0.51024386682243,0.0029048552580742096
Wolfenbüttel,Niedersachsen,211,2023-02-20,119224,55583,144,120.8,0.4662064684962759,0.0037961247143910907
Göttingen,Niedersachsen,517,2023-02-20,323661,154114,430,132.9,0.4761586969081848,0.0033546595377447865
Region Hannover,Niedersachsen,2257,2023-02-20,1157541,530454,1454,125.6,0.45825936187141536,0.004254845849027437
Diepholz,Niedersachsen,193,2023-02-20,218839,104291,182,83.2,0.4765649632835098,0.001850591134421954
Hameln-Pyrmont,Niedersachsen,210,2023-02-20,148963,69112,198,132.9,0.4639541362620248,0.003038546128024077
Hildesheim,Niedersachsen,724,2023-02-20,274773,130496,377,137.2,0.4749229363874908,0.005548062775870524
Holzminden,Niedersachsen,199,2023-02-20,69862,31453,86,123.1,0.4502161403910567,0.006326900454646615
Nienburg (Weser),Niedersachsen,264,2023-02-20,121773,57486,189,155.2,0.4720750905373112,0.004592422502870264
Schaumburg,Niedersachsen,294,2023-02-20,158108,79281,224,141.7,0.5014357274774205,0.00370832860332236
Celle,Niedersachsen,239,2023-02-20,179915,81535,183,101.7,0.45318622682933607,0.002931256515606795
Cuxhaven,Niedersachsen,317,2023-02-20,199603,90189,205,102.7,0.4518419061837748,0.0035148410560046127
Harburg,Niedersachsen,301,2023-02-20,257548,119163,189,73.4,0.46268268439281224,0.0025259518474694325
Lüchow-Dannenberg,Niedersachsen,66,2023-02-20,48472,21457,44,90.8,0.4426679320019805,0.0030759192804213076
Lüneburg,Niedersachsen,238,2023-02-20,185129,85170,133,71.8,0.4600575814702181,0.0027944111776447107
Osterholz,Niedersachsen,116,2023-02-20,115054,52584,82,71.3,0.4570375649694926,0.0022059942187737714
Rotenburg (Wümme),Niedersachsen,291,2023-02-20,165001,75610,88,53.3,0.45823964703244224,0.003848697262266896
Heidekreis,Niedersachsen,260,2023-02-20,142912,61867,156,109.2,0.4329027653381102,0.004202563563773902
Stade,Niedersachsen,340,2023-02-20,206496,99171,150,72.6,0.4802562761506276,0.0034284216151899247
Uelzen,Niedersachsen,288,2023-02-20,92894,44110,93,100.1,0.4748422933666329,0.0065291317161641355
Verden,Niedersachsen,213,2023-02-20,138507,64460,113,81.6,0.46539164085569684,0.003304374806081291
Delmenhorst,Niedersachsen,132,2023-02-20,77522,37046,110,141.9,0.47787724774902607,0.0035631377206715976
Emden,Niedersachsen,45,2023-02-20,49523,22295,25,50.5,0.45019485895442524,0.002018389773491814
Oldenburg (Oldb),Niedersachsen,72,2023-02-20,170389,78796,152,89.2,0.46244769321963275,0.0009137519671049292
Osnabrück,Niedersachsen,202,2023-02-20,165034,80842,204,123.6,0.489850576244895,0.0024987011701838153
Wilhelmshaven,Niedersachsen,232,2023-02-20,75027,33342,68,90.6,0.44440001599424206,0.006958190870373703
Ammerland,Niedersachsen,107,2023-02-20,126475,58229,119,94.1,0.4603992883969164,0.001837572343677549
Aurich,Niedersachsen,219,2023-02-20,190425,89060,124,65.1,0.467690691873441,0.002459016393442623
Cloppenburg,Niedersachsen,331,2023-02-20,173980,99200,192,110.4,0.5701804805150017,0.003336693548387097
Emsland,Niedersachsen,465,2023-02-20,331397,193385,556,167.8,0.5835448118118148,0.0024045298239263645
Friesland,Niedersachsen,85,2023-02-20,98971,42281,64,64.7,0.42720594921744753,0.0020103592630259454
Grafschaft Bentheim,Niedersachsen,225,2023-02-20,138722,75763,125,90.1,0.5461498536641629,0.002969787363224793
Leer,Niedersachsen,211,2023-02-20,172421,71989,102,59.2,0.41751874771634545,0.0029310033477336814
Oldenburg,Niedersachsen,190,2023-02-20,132091,67946,173,131.0,0.5143878084048118,0.0027963382686250846
Osnabrück,Niedersachsen,549,2023-02-20,361550,189544,434,120.0,0.5242539067902088,0.0028964251044612333
Vechta,Niedersachsen,135,2023-02-20,144805,90085,175,120.9,0.6221124961154656,0.0014985846700338568
Wesermarsch,Niedersachsen,194,2023-02-20,88430,39329,49,55.4,0.444747257717969,0.004932746828040378
Wittmund,Niedersachsen,92,2023-02-20,57455,28532,52,90.5,0.49659733704638415,0.003224449740642086
Bremen,Bremen,716,2023-02-20,563290,248384,591,104.9,0.4409522626000817,0.002882633341922185
Bremerhaven,Bremen,245,2023-02-20,113173,53610,55,48.6,0.47369955731490726,0.004570042902443574
Düsseldorf,Nordrhein-Westfalen,1047,2023-02-20,619477,274551,728,117.5,0.44319805255078076,0.003813499131308937
Duisburg,Nordrhein-Westfalen,1066,2023-02-20,495152,160641,478,96.5,0.32442765049924066,0.006635914866067816
Essen,Nordrhein-Westfalen,894,2023-02-20,579432,227330,656,113.2,0.3923324911292438,0.003932608982536401
Krefeld,Nordrhein-Westfalen,312,2023-02-20,227050,93637,217,95.6,0.41240695881964323,0.0033320161901812316
Mönchengladbach,Nordrhein-Westfalen,396,2023-02-20,261001,116064,301,115.3,0.44468795138715944,0.003411910669975186
Mülheim an der Ruhr,Nordrhein-Westfalen,452,2023-02-20,170739,66784,265,155.2,0.3911467210186308,0.006768088164829899
Oberhausen,Nordrhein-Westfalen,542,2023-02-20,208752,75221,216,103.5,0.36033666743312637,0.007205434652557132
Remscheid,Nordrhein-Westfalen,310,2023-02-20,111770,52613,201,179.8,0.4707255972085533,0.0058920799042061845
Solingen,Nordrhein-Westfalen,388,2023-02-20,158957,83107,324,203.8,0.5228269280371421,0.004668680135247332
Wuppertal,Nordrhein-Westfalen,738,2023-02-20,354572,169465,486,137.1,0.47794242072132037,0.004354881538960847
Kleve,Nordrhein-Westfalen,473,2023-02-20,314676,122984,359,114.1,0.39082739071298733,0.003846028751707539
Mettmann,Nordrhein-Westfalen,1307,2023-02-20,484411,229815,663,136.9,0.47442151396231713,0.005687183169070774
Rhein-Kreis Neuss,Nordrhein-Westfalen,778,2023-02-20,452496,191700,552,122.0,0.4236501538135144,0.004058424621804903
Viersen,Nordrhein-Westfalen,435,2023-02-20,298761,131291,456,152.6,0.4394516017820264,0.003313250717870989
Wesel,Nordrhein-Westfalen,564,2023-02-20,460433,195774,426,92.5,0.42519541388215004,0.0028808728431763157
Bonn,Nordrhein-Westfalen,533,2023-02-20,331885,139472,322,97.0,0.4202419512783042,0.003821555581048526
Köln,Nordrhein-Westfalen,1207,2023-02-20,1073096,505461,1430,133.3,0.4710305508547232,0.00238791914707564
Leverkusen,Nordrhein-Westfalen,204,2023-02-20,163851,76679,442,269.8,0.46798005505001494,0.0026604415811369475
Städteregion Aachen,Nordrhein-Westfalen,1047,2023-02-20,556673,254355,534,95.9,0.45691995121013596,0.004116294155805862
Düren,Nordrhein-Westfalen,497,2023-02-20,266771,132625,539,202.0,0.49714924035970925,0.0037474081055607917
Rhein-Erft-Kreis,Nordrhein-Westfalen,696,2023-02-20,471891,228795,850,180.1,0.4848471363090205,0.0030420245197666034
Euskirchen,Nordrhein-Westfalen,420,2023-02-20,194701,97302,461,236.8,0.49975090009809914,0.0043164580378615034
Heinsberg,Nordrhein-Westfalen,629,2023-02-20,258306,100349,465,180.0,0.38848884656182975,0.006268124246380133
Oberbergischer Kreis,Nordrhein-Westfalen,547,2023-02-20,271621,130691,270,99.4,0.48115204641761866,0.004185445057425531
Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,281,2023-02-20,283429,125222,315,111.1,0.4418108238747623,0.0022440146300170896
Rhein-Sieg-Kreis,Nordrhein-Westfalen,905,2023-02-20,600732,259074,751,125.0,0.4312638580931264,0.0034932104340844703
Bottrop,Nordrhein-Westfalen,224,2023-02-20,117311,49214,164,139.8,0.4195173513140285,0.00455155037184541
Gelsenkirchen,Nordrhein-Westfalen,705,2023-02-20,260126,104425,307,118.0,0.40144007135003806,0.006751256882930333
Münster,Nordrhein-Westfalen,261,2023-02-20,317713,146081,394,124.0,0.459789180801541,0.0017866799926068413
Borken,Nordrhein-Westfalen,547,2023-02-20,373582,192362,392,104.9,0.5149123887125183,0.002843596968216176
Coesfeld,Nordrhein-Westfalen,160,2023-02-20,221352,109695,193,87.2,0.4955681448552532,0.001458589726058617
Recklinghausen,Nordrhein-Westfalen,1725,2023-02-20,612801,244107,761,124.2,0.398346282071994,0.007066573265002643
Steinfurt,Nordrhein-Westfalen,529,2023-02-20,450176,213174,646,143.5,0.47353479528006825,0.00248154090086033
Warendorf,Nordrhein-Westfalen,397,2023-02-20,278176,135493,376,135.2,0.48707652709076266,0.0029300406663074845
Bielefeld,Nordrhein-Westfalen,724,2023-02-20,334002,162076,381,114.1,0.4852545793138963,0.004467040154001826
Gütersloh,Nordrhein-Westfalen,551,2023-02-20,366104,182029,274,74.8,0.49720571203810937,0.0030269902048574676
Herford,Nordrhein-Westfalen,455,2023-02-20,250635,134569,390,155.6,0.5369122429030263,0.003381165052872504
Höxter,Nordrhein-Westfalen,237,2023-02-20,139994,55703,146,104.3,0.39789562409817564,0.00425470800495485
Lippe,Nordrhein-Westfalen,770,2023-02-20,346151,152163,337,97.4,0.43958561437060706,0.005060362900310851
Minden-Lübbecke,Nordrhein-Westfalen,502,2023-02-20,311214,174753,615,197.6,0.5615203686209489,0.0028726259348909604
Paderborn,Nordrhein-Westfalen,254,2023-02-20,309380,121703,359,116.0,0.3933770767341134,0.0020870479774533083
Bochum,Nordrhein-Westfalen,566,2023-02-20,363441,144295,731,201.1,0.3970245514402613,0.003922519837832219
Dortmund,Nordrhein-Westfalen,693,2023-02-20,586852,258516,720,122.7,0.44051311063095977,0.0026806851413452167
Hagen,Nordrhein-Westfalen,639,2023-02-20,188713,84521,262,138.8,0.447881174057961,0.0075602512984938655
Hamm,Nordrhein-Westfalen,300,2023-02-20,179238,85953,188,104.9,0.47954674789944096,0.0034902795713936687
Herne,Nordrhein-Westfalen,477,2023-02-20,156621,70510,235,150.0,0.45019505685699873,0.006764997872642178
Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,748,2023-02-20,322143,131733,284,88.2,0.40892709138488187,0.005678152019615434
Hochsauerlandkreis,Nordrhein-Westfalen,295,2023-02-20,258615,113842,269,104.0,0.44019875103918954,0.002591310764041391
Märkischer Kreis,Nordrhein-Westfalen,817,2023-02-20,406793,200495,490,120.5,0.49286737972383987,0.004074914586398663
Olpe,Nordrhein-Westfalen,231,2023-02-20,133120,47714,103,77.4,0.3584284855769231,0.004841346355367398
Siegen-Wittgenstein,Nordrhein-Westfalen,315,2023-02-20,274342,131312,332,121.0,0.47864344504304845,0.002398866821006458
Soest,Nordrhein-Westfalen,518,2023-02-20,302298,118086,208,68.8,0.39062779112002066,0.004386633470521485
Unna,Nordrhein-Westfalen,754,2023-02-20,393063,166941,436,110.9,0.42471817494905395,0.004516565732803805
Darmstadt,Hessen,273,2023-02-20,159631,70797,248,155.4,0.4435040812874692,0.0038560955972710706
Frankfurt am Main,Hessen,1580,2023-02-20,759224,332153,750,98.8,0.43749012149247124,0.004756843984549289
Offenbach am Main,Hessen,332,2023-02-20,131295,60147,147,112.0,0.45810579229978293,0.005519809799324987
Wiesbaden,Hessen,537,2023-02-20,278950,133366,379,135.9,0.4781000179243592,0.004026513504191473
Bergstraße,Hessen,522,2023-02-20,271166,130631,285,105.1,0.48173812351105966,0.0039959887009974665
Darmstadt-Dieburg,Hessen,564,2023-02-20,296900,130483,464,156.3,0.439484674974739,0.004322402152004475
Groß-Gerau,Hessen,387,2023-02-20,276307,119009,302,109.3,0.4307129388687221,0.0032518549017301213
Hochtaunuskreis,Hessen,318,2023-02-20,237041,103885,327,138.0,0.4382575166321438,0.003061077152620686
Main-Kinzig-Kreis,Hessen,1085,2023-02-20,423465,204960,701,165.5,0.4840069427225391,0.005293715846994535
Main-Taunus-Kreis,Hessen,395,2023-02-20,239276,109227,370,154.6,0.4564895768902857,0.0036163219716736704
Odenwaldkreis,Hessen,255,2023-02-20,96953,47037,163,168.1,0.48515259971326313,0.005421264111231583
Offenbach,Hessen,901,2023-02-20,357466,164654,420,117.5,0.4606144360582545,0.0054720808483243654
